epoch,step,recon_loss,lr
58,335740,1.8340625331347837e-05,3.920236290447656e-06
58,335750,1.6271422140334835e-05,3.91997545329356e-06
58,335760,1.6876410683153154e-05,3.919714619222504e-06
58,335770,1.4029231942913612e-05,3.919453788235231e-06
58,335780,2.1296826116667943e-05,3.919192960332482e-06
58,335790,2.5453073618564304e-05,3.918932135515e-06
58,335800,1.723269438116404e-05,3.918671313783537e-06
58,335810,1.6294547418738147e-05,3.918410495138834e-06
58,335820,1.964266979257445e-05,3.918149679581636e-06
58,335830,2.110070989829182e-05,3.917888867112685e-06
58,335840,1.5574591310496543e-05,3.917628057732727e-06
58,335850,2.6121755990971e-05,3.917367251442507e-06
58,335860,2.554055953396528e-05,3.917106448242769e-06
58,335870,1.3894945499259847e-05,3.916845648134258e-06
58,335880,2.1802906326229275e-05,3.9165848511177165e-06
58,335890,1.9215960531937525e-05,3.916324057193892e-06
58,335900,1.5915629535356854e-05,3.916063266363528e-06
58,335910,1.4321302217013e-05,3.915802478627371e-06
58,335920,2.48008807034239e-05,3.915541693986161e-06
58,335930,1.427109191922682e-05,3.915280912440644e-06
58,335940,1.4229937409027116e-05,3.9150201339915654e-06
58,335950,1.792147772619046e-05,3.91475935863967e-06
58,335960,2.233092327514896e-05,3.914498586385701e-06
58,335970,1.8117160516339935e-05,3.914237817230402e-06
58,335980,1.8558528103085338e-05,3.91397705117452e-06
58,335990,1.858893961070862e-05,3.913716288218796e-06
58,336000,1.7657885535982132e-05,3.913455528363978e-06
58,336010,1.9964443077924442e-05,3.91319477161081e-06
58,336020,1.570665698409357e-05,3.912934017960032e-06
58,336030,2.625425401561188e-05,3.912673267412392e-06
58,336040,2.0657238582089122e-05,3.912412519968632e-06
58,336050,1.8061249954826055e-05,3.912151775629502e-06
58,336060,1.8685058392975407e-05,3.911891034395741e-06
58,336070,2.3713789721568902e-05,3.911630296268092e-06
58,336080,1.9623339835561637e-05,3.911369561247303e-06
58,336090,1.1011511458036693e-05,3.91110882933412e-06
58,336100,2.234122686104456e-05,3.910848100529283e-06
58,336110,1.7511603971342993e-05,3.910587374833536e-06
58,336120,1.7441740800450135e-05,3.9103266522476286e-06
58,336130,2.074101493008129e-05,3.9100659327723e-06
58,336140,1.3962435662051574e-05,3.909805216408296e-06
