epoch,step,recon_loss,lr
1,10,0.7943038508296013,3.8000000000000017e-06
1,20,0.49882311150431635,5.600000000000002e-06
1,30,0.24919942133128642,7.400000000000004e-06
1,40,0.12159512061625719,9.200000000000003e-06
1,50,0.07186500746756792,1.1000000000000003e-05
1,60,0.04761889642104507,1.2800000000000003e-05
1,70,0.03549405569210648,1.4600000000000004e-05
1,80,0.027892488194629552,1.6400000000000006e-05
1,90,0.02308525396510959,1.8200000000000012e-05
1,100,0.019323051813989876,0.0002
1,110,0.01157952797366306,0.0001999999989373868
1,120,0.007014924846589565,0.00019999999574954732
1,130,0.005092602467630059,0.00019999999043648147
1,140,0.0038412439986132084,0.00019999998299818946
1,150,0.0034092241199687122,0.0001999999734346714
1,160,0.003021541272755712,0.0001999999617459276
1,170,0.002733767562313005,0.00019999994793195832
1,180,0.0029394689016044137,0.00019999993199276375
1,190,0.002499357849592343,0.00019999991392834424
1,200,0.0021568922937149184,0.00019999989373870015
1,210,0.002171428746078163,0.00019999987142383196
1,220,0.0020722809305880217,0.0001999998469837401
1,230,0.0018309785111341626,0.00019999982041842517
1,240,0.0018999364838236943,0.00019999979172788773
1,250,0.0017683900427073241,0.00019999976091212833
1,260,0.0016716916987206786,0.00019999972797114766
1,270,0.0017028560163453222,0.0001999996929049463
1,280,0.0015628785826265813,0.00019999965571352514
1,290,0.0016816876246593892,0.00019999961639688494
1,300,0.001396382390521467,0.00019999957495502656
1,310,0.0014739915292011573,0.00019999953138795083
1,320,0.001388431352097541,0.0001999994856956587
1,330,0.001311934579280205,0.0001999994378781511
1,340,0.0013323688908712938,0.00019999938793542908
1,350,0.0013377747090999037,0.00019999933586749378
1,360,0.0014133908291114495,0.00019999928167434617
1,370,0.0012108864350011573,0.00019999922535598747
1,380,0.0011613585491431879,0.00019999916691241886
1,390,0.0011595382122322917,0.00019999910634364157
1,400,0.0011802964872913435,0.00019999904364965696
1,410,0.0011439844296546652,0.00019999897883046623
1,420,0.0011426357174059375,0.0001999989118860709
1,430,0.001063344837166369,0.00019999884281647233
1,440,0.0010417700599646197,0.0001999987716216719
1,450,0.0010296760156052187,0.00019999869830167124
1,460,0.0010125738888746127,0.00019999862285647192
1,470,0.0009637850729632192,0.00019999854528607544
1,480,0.0009134325140621514,0.00019999846559048354
1,490,0.0010070522883324886,0.00019999838376969786
1,500,0.0009236533427610993,0.0001999982998237202
1,510,0.0008706661799806171,0.00019999821375255228
1,520,0.0008988111352664419,0.000199998125556196
1,530,0.0009253010764950886,0.00019999803523465315
1,540,0.0009116933812038042,0.00019999794278792563
1,550,0.0008711659873370081,0.00019999784821601548
1,560,0.0008942359520005994,0.00019999775151892474
1,570,0.0008803280303254724,0.00019999765269665542
1,580,0.0008404029897064902,0.0001999975517492096
1,590,0.000834213824418839,0.00019999744867658942
1,600,0.0008102676860289648,0.00019999734347879712
1,610,0.0008064381327130832,0.00019999723615583484
1,620,0.0008929639487178066,0.000199997126707705
1,630,0.0008058820210862904,0.00019999701513440983
1,640,0.0008033757825614885,0.0001999969014359518
1,650,0.000831696845125407,0.00019999678561233322
1,660,0.0007626078819157555,0.00019999666766355655
1,670,0.0007899861899204552,0.00019999654758962436
1,680,0.0007572641305159777,0.00019999642539053917
1,690,0.000729165252414532,0.00019999630106630356
1,700,0.0007214906552690081,0.0001999961746169202
1,710,0.0007264704428962432,0.00019999604604239177
1,720,0.0007066266000038013,0.00019999591534272104
1,730,0.0007009122607996687,0.00019999578251791072
1,740,0.0007076794034219347,0.00019999564756796373
1,750,0.000700702946051024,0.00019999551049288281
1,760,0.0006778597831726073,0.00019999537129267094
1,770,0.0007125719464966096,0.00019999522996733113
1,780,0.0007137141306884587,0.0001999950865168662
1,790,0.0006859102606540546,0.0001999949409412794
1,800,0.0006861189365736208,0.0001999947932405737
1,810,0.0006992731636273676,0.0001999946434147523
1,820,0.0007460520748281852,0.00019999449146381842
1,830,0.0006779027491575107,0.0001999943373877752
1,840,0.0006736723924404942,0.00019999418118662595
1,850,0.0006467106883064843,0.000199994022860374
1,860,0.0006657167294179089,0.0001999938624090227
1,870,0.0006828472047345712,0.00019999369983257552
1,880,0.0006496005022199824,0.00019999353513103587
1,890,0.0006480598880443722,0.0001999933683044072
1,900,0.0006353734759613871,0.00019999319935269305
1,910,0.0006402279235771857,0.00019999302827589712
1,920,0.0006408903689589351,0.000199992855074023
1,930,0.0006242514282348566,0.00019999267974707435
1,940,0.0006242844538064674,0.0001999925022950549
1,950,0.0006563375194673426,0.00019999232271796847
1,960,0.0006603349262150006,0.0001999921410158188
1,970,0.0006290415258263238,0.0001999919571886098
1,980,0.0006232623170944862,0.00019999177123634535
1,990,0.0006073104377719574,0.0001999915831590294
1,1000,0.0005871368150110356,0.00019999139295666596
1,1010,0.000582861975999549,0.00019999120062925898
1,1020,0.0005784328182926402,0.00019999100617681278
1,1030,0.0005652689840644598,0.00019999080959933125
1,1040,0.0005685855081537739,0.00019999061089681877
1,1050,0.0005686661497747991,0.00019999041006927936
1,1060,0.000575222096813377,0.00019999020711671743
1,1070,0.0005790443057776429,0.0001999900020391373
1,1078,0.0005886435446882388,0.00019998983644706292
1,validation,0.0005828144091323114,0.00019998983644706292
