epoch,step,recon_loss,lr
1,10,0.9969151675701142,1.9000000000000006e-07
1,20,0.950066265463829,2.8e-07
1,30,0.888676641881466,3.7e-07
1,40,0.8054780185222625,4.6000000000000004e-07
1,50,0.7099645033478736,5.500000000000001e-07
1,60,0.6123844116926194,6.400000000000002e-07
1,70,0.520313960313797,7.300000000000002e-07
1,80,0.42563932090997697,8.200000000000003e-07
1,90,0.34126048907637596,9.100000000000004e-07
1,100,0.2666849762201309,1e-05
1,110,0.11302279569208622,9.99999999927271e-06
1,120,0.06476512672379613,9.99999999709084e-06
1,130,0.03797834767028689,9.999999993454388e-06
1,140,0.026988433673977852,9.999999988363359e-06
1,150,0.02100479267537594,9.999999981817749e-06
1,160,0.01804419835098088,9.999999973817557e-06
1,170,0.015669980878010394,9.999999964362789e-06
1,180,0.01395898221526295,9.99999995345344e-06
1,190,0.012615983886644245,9.999999941089506e-06
1,200,0.011487729079090058,9.999999927270996e-06
1,210,0.010931820585392415,9.999999911997902e-06
1,220,0.009472389635629953,9.999999895270233e-06
1,230,0.008991919993422927,9.999999877087982e-06
1,240,0.008358991949353366,9.999999857451152e-06
1,250,0.007828808249905705,9.999999836359737e-06
1,260,0.007655903184786438,9.999999813813746e-06
1,270,0.007094575907103717,9.999999789813176e-06
1,280,0.0067288701888173815,9.999999764358023e-06
1,290,0.0063393779797479505,9.999999737448293e-06
1,300,0.006393265328370035,9.999999709083982e-06
1,310,0.006050602730829269,9.999999679265092e-06
1,320,0.0061158545315265645,9.99999964799162e-06
1,330,0.005592477670870721,9.99999961526357e-06
1,340,0.005291903647594154,9.999999581080939e-06
1,350,0.005136311438400298,9.999999545443729e-06
1,360,0.005113060865551234,9.999999508351936e-06
1,370,0.004906851379200817,9.999999469805565e-06
1,380,0.004951323580462486,9.999999429804617e-06
1,390,0.0045644843485206366,9.999999388349087e-06
1,400,0.00466013572877273,9.999999345438977e-06
1,410,0.004393140820320695,9.999999301074288e-06
1,420,0.004191309155430645,9.999999255255022e-06
1,430,0.004041430453071371,9.999999207981173e-06
1,440,0.0041005587845575064,9.999999159252744e-06
1,450,0.004211778158787638,9.999999109069737e-06
1,460,0.003913223592098802,9.999999057432152e-06
1,470,0.003875916689867154,9.999999004339985e-06
1,480,0.003610511141596362,9.999998949793231e-06
1,490,0.0037065793352667243,9.999998893791897e-06
1,500,0.0034732207772322,9.99999883633598e-06
1,510,0.0035006881575100125,9.999998777425484e-06
1,520,0.0033565708028618245,9.999998717060409e-06
1,530,0.0034116806462407114,9.999998655240758e-06
1,540,0.003432876447914168,9.999998591966528e-06
1,550,0.0031774764880537986,9.999998527237715e-06
1,560,0.003229183069197461,9.999998461054323e-06
1,570,0.0031598577683325858,9.999998393416354e-06
1,580,0.002933951193699613,9.999998324323805e-06
1,590,0.0029574565531220284,9.999998253776677e-06
1,600,0.002957040601177141,9.999998181774968e-06
1,610,0.0030331929156091064,9.999998108318684e-06
1,620,0.0029254934925120324,9.999998033407818e-06
1,630,0.0027414990065153686,9.999997957042379e-06
1,640,0.002910743659595028,9.999997879222357e-06
1,650,0.0026692631538026033,9.999997799947744e-06
1,660,0.002580274251522497,9.999997719218553e-06
1,670,0.002750664571067318,9.999997637034788e-06
1,680,0.0027651717711705717,9.99999755339644e-06
1,690,0.002590078266803175,9.999997468303514e-06
1,700,0.002412664145231247,9.999997381756012e-06
1,710,0.0024946862540673465,9.999997293753927e-06
1,720,0.002455721789738163,9.999997204297268e-06
1,730,0.0025087310874369,9.999997113386028e-06
1,740,0.0023378098849207163,9.999997021020211e-06
1,750,0.0022291930217761546,9.999996927199806e-06
1,760,0.0024461716180667285,9.999996831924824e-06
1,770,0.0022980684647336603,9.999996735195264e-06
1,780,0.0023025214846711605,9.999996637011124e-06
1,790,0.002290431229630485,9.999996537372408e-06
1,800,0.002348998637171462,9.999996436279115e-06
1,810,0.0024627376813441517,9.999996333731244e-06
1,820,0.0022575008450075986,9.999996229728793e-06
1,830,0.002138079446740448,9.999996124271756e-06
1,840,0.0020137273415457456,9.99999601736014e-06
1,850,0.0021933771466137843,9.999995908993948e-06
1,860,0.002195725365891121,9.99999579917318e-06
1,870,0.0020416347717400643,9.999995687897832e-06
1,880,0.002126453153323382,9.99999557516791e-06
1,890,0.0020847592095378786,9.999995460983398e-06
1,900,0.0019097780721494925,9.999995345344308e-06
1,910,0.0019538358610589057,9.999995228250645e-06
1,920,0.0018417665851302445,9.999995109702404e-06
1,930,0.0019587838876759635,9.999994989699585e-06
1,940,0.0017878056707559152,9.999994868242186e-06
1,950,0.0019248949247412384,9.9999947453302e-06
1,960,0.0018892063235398382,9.999994620963643e-06
1,970,0.0017681837111013009,9.99999449514251e-06
1,980,0.001987481769174337,9.9999943678668e-06
1,990,0.0017890112387249245,9.999994239136504e-06
1,1000,0.0017736425652401522,9.99999410895163e-06
1,1010,0.0018994960380950944,9.999993977312183e-06
1,1020,0.0017702202254440635,9.999993844218157e-06
1,1030,0.001868744075181894,9.99999370966955e-06
1,1040,0.0016255181690212341,9.999993573666362e-06
1,1050,0.001608235068852082,9.999993436208598e-06
1,1060,0.0016797832358861342,9.999993297296259e-06
1,1070,0.001593919561128132,9.999993156929338e-06
1,1080,0.0015939083212288096,9.999993015107837e-06
1,1090,0.001634335156995803,9.999992871831762e-06
1,1100,0.001542109201545827,9.99999272710111e-06
1,1110,0.001509080795221962,9.999992580915874e-06
1,1120,0.0015550092881312595,9.999992433276062e-06
1,1130,0.0015675830887630583,9.999992284181675e-06
1,1140,0.0016523917845916003,9.999992133632706e-06
1,1150,0.001630540785845369,9.999991981629162e-06
1,1160,0.0015516038751229645,9.999991828171041e-06
1,1170,0.00145235724048689,9.999991673258342e-06
1,1180,0.0015059004974318667,9.99999151689106e-06
1,1190,0.0014866129029542207,9.999991359069206e-06
1,1200,0.0015175941924098876,9.999991199792773e-06
1,1210,0.001480369095224887,9.999991039061762e-06
1,1220,0.0014193804032402114,9.999990876876176e-06
1,1230,0.0013771735684713349,9.99999071323601e-06
1,1240,0.0013592695584520697,9.999990548141265e-06
1,1250,0.0014100591943133622,9.999990381591944e-06
1,1260,0.001491251078550704,9.999990213588043e-06
1,1270,0.0014587408193619921,9.99999004412957e-06
1,1280,0.0014616143045714123,9.999989873216517e-06
1,1290,0.001413390235393308,9.999989700848887e-06
1,1300,0.0015140823321416973,9.999989527026682e-06
1,1310,0.001379160536453128,9.999989351749897e-06
1,1320,0.0014540766278514639,9.99998917501854e-06
1,1330,0.0013027163717197253,9.999988996832599e-06
1,1340,0.001410958106862381,9.999988817192083e-06
1,1350,0.0013040903402725234,9.999988636096993e-06
1,1360,0.001305795685038902,9.999988453547325e-06
1,1370,0.0013168613717425615,9.999988269543082e-06
1,1380,0.001380524950218387,9.999988084084256e-06
1,1390,0.001285003058728762,9.99998789717086e-06
1,1400,0.0012523268640507014,9.99998770880288e-06
1,1410,0.0012790309003321454,9.99998751898033e-06
1,1420,0.0012839245348004625,9.9999873277032e-06
