token_id,count,weight
269883,78552,12.502811509095844
254358,77974,12.410813532567463
269909,77363,12.313563076410299
254357,77228,12.292075659747095
269884,76684,12.205489328896855
270580,76627,12.196416864083501
269908,76621,12.19546186778736
269934,76493,12.175088613469656
348180,76367,12.155033691250665
347534,76297,12.143892067795672
270555,76208,12.129726289402893
254337,75948,12.088343116570057
347509,75782,12.061921552376786
270581,75740,12.055236578303788
254332,75738,12.054918246205075
270605,75735,12.054440748057003
254362,75726,12.05300825361279
269882,75612,12.034863323986086
270606,75570,12.028178349913087
348155,75489,12.015285899915167
270530,75461,12.010829250533169
269888,75456,12.010033420286383
254186,75455,12.009874254237026
254211,75286,11.982975191895683
347559,75259,11.978677708563042
348205,75249,11.977086048069472
347508,75192,11.96801358325612
269959,75184,11.966740254861262
270575,75136,11.959100284492123
254212,75067,11.948117827086486
254359,74894,11.920582100547715
270550,74869,11.91660294931379
348206,74853,11.914056292524076
269904,74825,11.909599643142078
254363,74713,11.891773045614087
270601,74681,11.886679732034661
254333,74610,11.87537894253031
269933,74608,11.875060610431596
347533,74563,11.867898138210528
286131,74547,11.865351481420815
254336,74544,11.864873983272744
254232,74465,11.852299865373537
348175,74390,11.840362411671757
269887,74381,11.838929917227542
331983,74379,11.83861158512883
270576,74361,11.835746596240401
254338,74279,11.822694980193123
254191,74264,11.820307489452766
269878,74258,11.819352493156625
254237,74232,11.81521417587334
348181,74227,11.814418345626555
269929,74080,11.791020936371067
269879,74040,11.784654294396786
286132,73997,11.777810154274432
331984,73987,11.776218493780862
270600,73951,11.770488516004006
270607,73929,11.766986862918152
348150,73916,11.76491770427651
348130,73913,11.76444020612844
347529,73872,11.757914398104798
254207,73796,11.745817778353663
254187,73784,11.743907785761378
348201,73748,11.738177807984524
254312,73748,11.738177807984524
254331,73747,11.738018641935167
269903,73719,11.733561992553168
270556,73701,11.730697003664742
348231,73683,11.727832014776315
347504,73677,11.726877018480172
269914,73650,11.722579535147531
254311,73449,11.690587159226762
348176,73424,11.686608007992836
269913,73390,11.681196362314695
254356,73359,11.676262214784627
269907,73312,11.668781410464845
270525,73281,11.663847262934777
269954,73275,11.662892266638634
347554,73212,11.65286480552914
286126,73189,11.649203986393927
348200,73110,11.636629868494719
270505,73078,11.631536554915293
254353,73071,11.630422392569793
347513,73063,11.629149064174937
254236,73034,11.624533248743582
254307,73015,11.621509093805798
269889,73012,11.621031595657726
331988,72918,11.606069987018163
254361,72912,11.60511499072202
348230,72861,11.596997522204811
254206,72821,11.590630880230528
286127,72796,11.586651728996602
254161,72745,11.578534260479392
347584,72727,11.575669271590964
254231,72617,11.558161006161688
254166,72577,11.551794364187405
286130,72559,11.548929375298979
270602,72527,11.543836061719553
269939,72513,11.541607737028553
254233,72474,11.535400261103629
269757,72446,11.53094361172163
348156,72434,11.529033619129345
269984,72408,11.524895301846062
254181,72374,11.519483656167921
269758,72356,11.516618667279495
270582,72320,11.510888689502641
348226,72295,11.506909538268713
331982,72293,11.50659120617
347503,72280,11.504522047528358
347558,72242,11.49847373765279
348207,72224,11.495608748764363
348125,72216,11.494335420369506
270560,72186,11.489560438888795
254216,72167,11.48653628395101
347514,72144,11.482875464815798
270551,72142,11.482557132717083
254182,72088,11.473962166051802
254364,72060,11.469505516669805
254192,72013,11.462024712350022
270577,71981,11.456931398770596
269928,71976,11.45613556852381
254066,71965,11.454384741980883
347507,71941,11.450564756796314
348232,71925,11.448018100006601
254217,71862,11.437990638897107
