epoch,step,recon_loss,lr
9,17266,0.000372300961316796,0.0001992193018484356
9,17276,0.0003886759783199523,0.00019921839318402828
9,17286,0.0003811819718976039,0.00019921748399320021
9,17296,0.0004035926416690927,0.0001992165742759562
9,17306,0.0004272449390555266,0.00019921566403230105
9,17316,0.0003646462086180691,0.0001992147532622396
9,17326,0.0003746502407011576,0.00019921384196577675
9,17336,0.0003705889743287116,0.00019921293014291727
9,17346,0.00036897875834256415,0.000199212017793666
9,17356,0.0003900298026564997,0.0001992111049180277
9,17366,0.00041389551042811943,0.0001992101915160073
9,17376,0.00042596439452609043,0.00019920927758760974
9,17386,0.0003916275192750618,0.0001992083631328397
9,17396,0.0003645756165497005,0.00019920744815170218
9,17406,0.0003615062203607522,0.00019920653264420197
9,17416,0.0003688015189254656,0.00019920561661034383
9,17426,0.00038007408002158625,0.00019920470005013272
9,17436,0.0003850223634799477,0.0001992037829635734
9,17446,0.0003910507126420271,0.00019920286535067092
9,17456,0.0003873809422657359,0.0001992019472114301
9,17466,0.0003861975623294711,0.00019920102854585565
9,17476,0.0004178651986876503,0.00019920010935395264
9,17486,0.0004163317913480569,0.0001991991896357259
9,17496,0.00039574562397319817,0.00019919826939118027
9,17506,0.0003912850523192902,0.00019919734862032057
9,17516,0.0004048631722980645,0.00019919642732315178
9,17526,0.00038367529923561956,0.00019919550549967876
9,17536,0.00038319348313962107,0.00019919458314990635
9,17546,0.00039075020031305036,0.00019919366027383955
9,17556,0.00036733693632413634,0.00019919273687148324
9,17566,0.0004138423188123852,0.00019919181294284226
9,17576,0.0004009502001281362,0.00019919088848792152
9,17586,0.0003609723935369402,0.00019918996350672594
9,17596,0.00037480486716958696,0.00019918903799926046
9,17606,0.0003880469805153553,0.0001991881119655299
9,17616,0.00043098389505757956,0.00019918718540553929
9,17626,0.0003938476176699624,0.00019918625831929338
9,17636,0.00039884080033516513,0.00019918533070679723
9,17646,0.0003840356097498443,0.00019918440256805575
9,17656,0.0004305119065975305,0.00019918347390307384
9,17666,0.00041844731822493486,0.00019918254471185644
9,17676,0.00040348350958083754,0.0001991816149944084
9,17686,0.00040599059648229743,0.00019918068475073482
9,17696,0.00037952768252580427,0.00019917975398084042
9,17706,0.0003456444937910419,0.00019917882268473034
9,17716,0.00036931525901309217,0.00019917789086240943
9,17726,0.0004066593428433407,0.00019917695851388265
9,17736,0.0003786378219956532,0.00019917602563915496
9,17746,0.0004104179948626552,0.00019917509223823122
9,17756,0.0003640615999756847,0.00019917415831111645
9,17766,0.0003607124257541727,0.00019917322385781564
9,17776,0.0004118052289413754,0.00019917228887833367
9,17786,0.0004423229220265057,0.00019917135337267562
9,17796,0.0003774647739192005,0.00019917041734084635
9,17806,0.0003945046599255875,0.00019916948078285086
9,17816,0.0004034859026432969,0.00019916854369869406
9,17826,0.00039167108116089366,0.00019916760608838097
9,17836,0.00046772333662374875,0.00019916666795191654
9,17846,0.00035305758137837984,0.00019916572928930582
9,17856,0.0004205169665510766,0.00019916479010055374
9,17866,0.00041238270569010643,0.00019916385038566526
9,17876,0.00042179618903901426,0.00019916291014464537
